time,adj1,avg accum vol,
9:30:05,16.88610054,278456.5179,
9:30:10,16.88610054,345590.5,
9:30:15,16.88610054,380283.05,
9:30:20,5.61980674,405017.25,
9:30:25,3.69188582,428733.5321,
9:30:30,3.088574112,449839.2143,
9:30:35,3.078525955,474347.125,
9:30:40,3.028420604,496935.0107,
9:30:45,3.016106891,517763.3821,
9:30:50,2.858818296,538729.0786,
9:30:55,2.739066173,558620.0893,
9:31:00,2.695015788,578456.425,
9:31:05,2.922776753,604551.4071,
9:31:10,3.002607748,626240.25,
9:31:15,3.007036099,646176.3143,
9:31:20,2.644711254,664111.5679,
9:31:25,2.47180814,681906.55,
9:31:30,2.395251466,700118.5214,
9:31:35,2.327083507,716518.6,
9:31:40,2.283696011,733336.475,
9:31:45,2.229794433,750334.5571,
9:31:50,2.178980838,765590.2893,
9:31:55,2.117872485,781031.975,
9:32:00,1.993893258,795237.9857,
9:32:05,2.179688131,814677.9071,
9:32:10,2.315740022,833183.5464,
9:32:15,2.377984483,848791.3321,
9:32:20,2.177208483,863709.6821,
9:32:25,2.041731148,879164.3071,
9:32:30,2.013056769,894126.3321,
9:32:35,2.031635416,909463.0821,
9:32:40,1.978088277,923711.8,
9:32:45,1.964028533,938357.1929,
9:32:50,1.898734784,952223.4964,
9:32:55,1.874822261,965933.6929,
9:33:00,1.759534171,977982.7429,
9:33:05,1.976001129,996723.9857,
9:33:10,2.166103352,1014715.375,
9:33:15,2.32693745,1030386.486,
9:33:20,2.101652961,1044054.214,
9:33:25,1.933637621,1058261.818,
9:33:30,1.784762163,1070580.182,
9:33:35,1.808673734,1084786.411,
9:33:40,1.803433266,1098875.996,
9:33:45,1.865160103,1112584.479,
9:33:50,1.842072544,1126270.764,
9:33:55,1.793106474,1139257.611,
9:34:00,1.738437816,1151734.929,
9:34:05,1.879949341,1168608.121,
9:34:10,1.955271424,1183291.257,
9:34:15,1.954899065,1195760.189,
9:34:20,1.836927861,1209976.614,
9:34:25,1.843381987,1224805.1,
9:34:30,1.923260399,1239072.932,
9:34:35,1.86637598,1252008.293,
9:34:40,1.807583932,1265512.754,
9:34:45,1.756535948,1278630.961,
9:34:50,1.73289318,1291033.875,
9:34:55,1.686045975,1303483.314,
9:35:00,1.648536621,1315756.793,
9:35:05,2.086029879,1338012.264,
9:35:10,2.354614324,1356510.354,
9:35:15,2.50631705,1372200.25,
9:35:20,2.137131465,1386141.486,
9:35:25,1.955078901,1400539.664,
9:35:30,1.839644753,1413629.929,
9:35:35,1.817142059,1427064.393,
9:35:40,1.751881136,1439992.864,
9:35:45,1.812350705,1454444.932,
9:35:50,1.804941258,1467712.532,
9:35:55,1.802189477,1480579.032,
9:36:00,1.670863444,1492073.575,
9:36:05,1.729970443,1506672.293,
9:36:10,1.803567588,1521196.236,
9:36:15,1.852768365,1533798.804,
9:36:20,1.788597244,1546952.357,
9:36:25,1.653196982,1558427.021,
9:36:30,1.606162646,1569970.354,
9:36:35,1.559174617,1582065.714,
9:36:40,1.55096336,1593355.457,
9:36:45,1.568627284,1605296.589,
9:36:50,1.519014184,1616274.639,
9:36:55,1.516379122,1627505.039,
9:37:00,1.463607626,1638257.732,
9:37:05,1.586772992,1652009.525,
9:37:10,1.648962265,1664640.457,
9:37:15,1.705522535,1676666.914,
9:37:20,1.598148829,1688000.6,
9:37:25,1.543539482,1699401.704,
9:37:30,1.521038691,1710921.432,
9:37:35,1.503367313,1721857.15,
9:37:40,1.492595688,1733015.671,
9:37:45,1.478012453,1744206.979,
9:37:50,1.418067803,1753792.714,
9:37:55,1.40751804,1764713.65,
9:38:00,1.364472454,1774935.55,
9:38:05,1.544066463,1788565.829,
9:38:10,1.574185876,1800165.068,
9:38:15,1.631464064,1811676.9,
9:38:20,1.508614126,1822540.539,
9:38:25,1.494580231,1833823.729,
9:38:30,1.455496913,1844455.386,
9:38:35,1.430760537,1854761.95,
9:38:40,1.373952874,1864765.804,
9:38:45,1.385536458,1875658.329,
9:38:50,1.395381466,1886186.607,
9:38:55,1.401119736,1896319.689,
9:39:00,1.35676106,1906213.236,
9:39:05,1.407749416,1917889.796,
9:39:10,1.484604866,1929753.7,
9:39:15,1.593651176,1942103.021,
9:39:20,1.527250656,1952284.211,
9:39:25,1.482957,1963150.6,
9:39:30,1.386439922,1973326.311,
9:39:35,1.3761994,1983276.879,
9:39:40,1.289151957,1992182.918,
9:39:45,1.269029002,2001905.45,
9:39:50,1.276114141,2012015.579,
9:39:55,1.351996032,2022630.514,
9:40:00,1.349940759,2032306.761,
9:40:05,1.535654595,2046599.254,
9:40:10,1.578088673,2058169.825,
9:40:15,1.684414285,2070240.575,
9:40:20,1.529788347,2081050.818,
9:40:25,1.542593359,2092909.764,
9:40:30,1.503468333,2104099.4,
9:40:35,1.55493768,2116068.757,
9:40:40,1.547036458,2127749.764,
9:40:45,1.578777411,2139654.221,
9:40:50,1.513915015,2150162.846,
9:40:55,1.436863237,2160108.611,
9:41:00,1.348942144,2170033.043,
9:41:05,1.50984713,2184165.325,
9:41:10,1.546325677,2194932.604,
9:41:15,1.599730722,2206059.743,
